Idade,Felicidade,ViagemNegocios,TaxaDiaria,Area,DistanciaDaEmpresa,Educacao,AreaDeEducacao,ContagemFuncionario,NumeroCadastroFuncionario,SatisfacaoFuncionario,Genero,ValorHora,EnvolvimentoEmprego,NivelEmprego,FuncaoEmprego,SatisfacaoEmprego,EstadoConjugal,Salario,TaxaMensal,NumeroDeEmpresasTrabalhadas,AcimaDe18anos,HoraExtra,PercentAumentoSalario,TaxaPerformance,SatisfacaoRelacionamento,HorasPadrao,NivelAcoesEmpresa,TotalDeAnosTranalhados,TempoDeTreino,BalancoVidaTrabalho,AnosNaEmpresa,TempoNaAtualFuncao,AnosDesdeUltimaPromocao,AnosComOmesmoGerente
28,Não,Raramente,1434,R&D,5,4,Engenharia,1,65,3,M,50,3,1,Pleno DEV,3,Solteiro,3441,11179,1,Sim,Sim,13,3,3,80,0,2,3,2,2,2,2,2
44,Sim,Raramente,1488,Vendas,1,5,Marketing,1,68,2,F,75,3,2,Executivo Vendas,1,Divorciado,5454,4009,5,Sim,Sim,21,4,3,80,1,9,2,2,4,3,1,3
35,Sim,Sem Viagens,1097,R&D,11,2,Computacao,1,70,3,M,79,2,3,Analista de Negocio,1,Casado,9884,8302,2,Sim,Sim,13,3,3,80,1,10,3,3,4,0,2,3
26,Sim,Raramente,1443,Vendas,23,3,Marketing,1,72,3,F,47,2,2,Executivo Vendas,4,Casado,4157,21436,7,Sim,Sim,19,3,3,80,1,5,2,2,2,2,0,0
33,Sim,Frequentemente,515,R&D,1,2,Ciencias Financeiras,1,73,1,F,98,3,3,Scrum Master,4,Solteiro,13458,15146,1,Sim,Sim,12,3,3,80,0,15,1,3,15,14,8,12
35,Sim,Frequentemente,853,Vendas,18,5,Ciencias Financeiras,1,74,2,M,71,3,3,Executivo Vendas,1,Casado,9069,11031,1,Sim,Não,22,4,4,80,1,9,3,2,9,8,1,8
35,Sim,Raramente,1142,R&D,23,4,Computacao,1,75,3,F,30,3,1,Pleno DEV,1,Casado,4014,16002,3,Sim,Sim,15,3,3,80,1,4,3,3,2,2,2,2
31,Sim,Raramente,655,R&D,7,4,Ciencias Financeiras,1,76,4,M,48,3,2,Pleno DEV,4,Divorciado,5915,9528,3,Sim,Não,22,4,4,80,1,10,3,2,7,7,1,7
37,Sim,Raramente,1115,R&D,1,4,Ciencias Financeiras,1,77,1,M,51,2,2,Diretor de Area,3,Divorciado,5993,2689,1,Sim,Não,18,3,3,80,1,7,2,4,7,5,0,7
32,Sim,Raramente,427,R&D,1,3,Computacao,1,78,1,M,33,3,2,Diretor de Area,4,Casado,6162,10877,1,Sim,Sim,22,4,2,80,1,9,3,3,9,8,7,8
38,Sim,Frequentemente,653,R&D,29,5,Ciencias Financeiras,1,79,4,F,50,3,2,Pleno DEV,4,Solteiro,2406,5456,1,Sim,Não,11,3,4,80,0,10,2,3,10,3,9,9
50,Sim,Raramente,989,R&D,7,2,Computacao,1,80,2,F,43,2,5,Scrum Master,3,Divorciado,18740,16701,5,Sim,Sim,12,3,4,80,1,29,2,2,27,3,13,8
59,Sim,Raramente,1435,Vendas,25,3,Ciencias Financeiras,1,81,1,F,99,3,3,Executivo Vendas,1,Solteiro,7637,2354,7,Sim,Não,11,3,4,80,0,28,3,2,21,16,7,9
36,Sim,Raramente,1223,R&D,8,3,Engenharia,1,83,3,F,59,3,3,Analista de Negocio,3,Divorciado,10096,8202,1,Sim,Não,13,3,2,80,3,17,2,3,17,14,12,8
55,Sim,Raramente,836,R&D,8,3,Computacao,1,84,4,F,33,3,4,Gerente,3,Divorciado,14756,19730,2,Sim,Sim,14,3,3,80,3,21,2,3,5,0,0,2
36,Sim,Frequentemente,1195,R&D,11,3,Ciencias Financeiras,1,85,2,M,95,2,2,Diretor de Area,2,Solteiro,6499,22656,1,Sim,Não,13,3,3,80,0,6,3,3,6,5,0,3
45,Sim,Raramente,1339,R&D,7,3,Ciencias Financeiras,1,86,2,M,59,3,3,Senior DEV,1,Divorciado,9724,18787,2,Sim,Não,17,3,3,80,1,25,2,3,1,0,0,0
35,Sim,Frequentemente,664,R&D,1,3,Computacao,1,88,2,M,79,3,1,Senior DEV,1,Casado,2194,5868,4,Sim,Não,13,3,4,80,1,5,2,2,3,2,1,2
36,Não,Raramente,318,R&D,9,3,Computacao,1,90,4,M,79,2,1,Senior DEV,3,Casado,3388,21777,0,Sim,Sim,17,3,1,80,1,2,0,2,1,0,0,0
59,Sim,Frequentemente,1225,Vendas,1,1,Ciencias Financeiras,1,91,1,F,57,2,2,Executivo Vendas,3,Solteiro,5473,24668,7,Sim,Não,11,3,4,80,0,20,2,2,4,3,1,3
29,Sim,Raramente,1328,R&D,2,3,Ciencias Financeiras,1,94,3,M,76,3,1,Senior DEV,2,Casado,2703,4956,0,Sim,Não,23,4,4,80,1,6,3,3,5,4,0,4
31,Sim,Raramente,1082,R&D,1,4,Computacao,1,95,3,M,87,3,1,Senior DEV,2,Solteiro,2501,18775,1,Sim,Não,17,3,2,80,0,1,4,3,1,1,1,0
32,Sim,Raramente,548,R&D,1,3,Ciencias Financeiras,1,96,2,M,66,3,2,Senior DEV,2,Casado,6220,7346,1,Sim,Não,17,3,2,80,2,10,3,3,10,4,0,9
36,Sim,Raramente,132,R&D,6,3,Ciencias Financeiras,1,97,2,F,55,4,1,Pleno DEV,4,Casado,3038,22002,3,Sim,Não,12,3,2,80,0,5,3,3,1,0,0,0
31,Sim,Raramente,746,R&D,8,4,Ciencias Financeiras,1,98,3,F,61,3,2,Diretor de Area,4,Solteiro,4424,20682,1,Sim,Não,23,4,4,80,0,11,2,3,11,7,1,8
35,Sim,Raramente,776,Vendas,1,4,Marketing,1,100,3,M,32,2,2,Executivo Vendas,1,Solteiro,4312,23016,0,Sim,Não,14,3,2,80,0,16,2,3,15,13,2,8
45,Sim,Raramente,193,R&D,6,4,Outros,1,101,4,M,52,3,3,Scrum Master,1,Casado,13245,15067,4,Sim,Sim,14,3,2,80,0,17,3,4,0,0,0,0
37,Sim,Raramente,397,R&D,7,4,Computacao,1,102,1,M,30,3,3,Scrum Master,3,Solteiro,13664,25258,4,Sim,Não,13,3,1,80,0,16,3,4,5,2,0,2
46,Sim,Raramente,945,RH,5,2,Computacao,1,103,2,M,80,3,2,Analista de RH,2,Divorciado,5021,10425,8,Sim,Sim,22,4,4,80,1,16,2,3,4,2,0,2
30,Sim,Raramente,852,R&D,1,1,Ciencias Financeiras,1,104,4,M,55,2,2,Pleno DEV,4,Casado,5126,15998,1,Sim,Sim,12,3,3,80,2,10,1,2,10,8,3,0
35,Sim,Raramente,1214,R&D,1,3,Computacao,1,105,2,M,30,2,1,Senior DEV,3,Solteiro,2859,26278,1,Sim,Não,18,3,1,80,0,6,3,3,6,4,0,4
55,Sim,Raramente,111,Vendas,1,2,Ciencias Financeiras,1,106,1,M,70,3,3,Executivo Vendas,4,Casado,10239,18092,3,Sim,Não,14,3,4,80,1,24,4,3,1,0,1,0
38,Sim,Sem Viagens,573,R&D,6,3,Computacao,1,107,2,F,79,1,2,Senior DEV,4,Divorciado,5329,15717,7,Sim,Sim,12,3,4,80,3,17,3,3,13,11,1,9
34,Sim,Raramente,1153,R&D,1,2,Computacao,1,110,1,M,94,3,2,Diretor de Area,2,Casado,4325,17736,1,Sim,Não,15,3,3,80,0,5,2,3,5,2,1,3
56,Sim,Raramente,1400,R&D,7,3,Ciencias Financeiras,1,112,4,M,49,1,3,Diretor de Area,4,Solteiro,7260,21698,4,Sim,Não,11,3,1,80,0,37,3,2,6,4,0,2
23,Sim,Raramente,541,Vendas,2,1,Engenharia,1,113,3,M,62,3,1,Representante de Vendas,1,Divorciado,2322,9518,3,Sim,Não,13,3,3,80,1,3,3,3,0,0,0,0
51,Sim,Raramente,432,R&D,9,4,Ciencias Financeiras,1,116,4,M,96,3,1,Pleno DEV,4,Casado,2075,18725,3,Sim,Não,23,4,2,80,2,10,4,3,4,2,0,3
30,Sim,Raramente,288,R&D,2,3,Ciencias Financeiras,1,117,3,M,99,2,2,Analista de Negocio,4,Casado,4152,15830,1,Sim,Não,19,3,1,80,3,11,3,3,11,10,10,8
46,Não,Raramente,669,Vendas,9,2,Computacao,1,118,3,M,64,2,3,Executivo Vendas,4,Solteiro,9619,13596,1,Sim,Não,16,3,4,80,0,9,3,3,9,8,4,7
40,Sim,Frequentemente,530,R&D,1,4,Ciencias Financeiras,1,119,3,M,78,2,4,Analista de Negocio,2,Casado,13503,14115,1,Sim,Não,22,4,4,80,1,22,3,2,22,3,11,11
51,Sim,Raramente,632,Vendas,21,4,Marketing,1,120,3,M,71,3,2,Executivo Vendas,4,Solteiro,5441,8423,0,Sim,Sim,22,4,4,80,0,11,2,1,10,7,1,0
30,Sim,Raramente,1334,Vendas,4,2,Computacao,1,121,3,F,63,2,2,Executivo Vendas,2,Divorciado,5209,19760,1,Sim,Sim,12,3,2,80,3,11,4,2,11,8,2,7
46,Sim,Frequentemente,638,R&D,1,3,Computacao,1,124,3,M,40,2,3,Analista de Negocio,1,Casado,10673,3142,2,Sim,Sim,13,3,3,80,1,21,5,2,10,9,9,5
32,Sim,Raramente,1093,Vendas,6,4,Computacao,1,125,2,M,87,3,2,Executivo Vendas,3,Solteiro,5010,24301,1,Sim,Não,16,3,1,80,0,12,0,3,11,8,5,7
54,Sim,Raramente,1217,R&D,2,4,Engenharia,1,126,1,F,60,3,3,Scrum Master,3,Casado,13549,24001,9,Sim,Não,12,3,1,80,1,16,5,1,4,3,0,3
24,Sim,Raramente,1353,Vendas,3,2,Outros,1,128,1,F,33,3,2,Executivo Vendas,3,Casado,4999,17519,0,Sim,Não,21,4,1,80,1,4,2,2,3,2,0,2
28,Sim,Sem Viagens,120,Vendas,4,3,Computacao,1,129,2,M,43,3,2,Executivo Vendas,3,Casado,4221,8863,1,Sim,Não,15,3,2,80,0,5,3,4,5,4,0,4
58,Sim,Raramente,682,Vendas,10,4,Computacao,1,131,4,M,37,3,4,Executivo Vendas,3,Solteiro,13872,24409,0,Sim,Não,13,3,3,80,0,38,1,2,37,10,1,8
44,Sim,Sem Viagens,489,R&D,23,3,Computacao,1,132,2,M,67,3,2,Pleno DEV,2,Casado,2042,25043,4,Sim,Não,12,3,3,80,1,17,3,4,3,2,1,2
37,Não,Raramente,807,RH,6,4,Ciencias Humanas,1,133,3,M,63,3,1,Analista de RH,1,Divorciado,2073,23648,4,Sim,Sim,22,4,4,80,0,7,3,3,3,2,0,2
32,Sim,Raramente,827,R&D,1,1,Ciencias Financeiras,1,134,4,M,71,3,1,Senior DEV,1,Solteiro,2956,15178,1,Sim,Não,13,3,4,80,0,1,2,3,1,0,0,0
20,Não,Frequentemente,871,R&D,6,3,Ciencias Financeiras,1,137,4,F,66,2,1,Pleno DEV,4,Solteiro,2926,19783,1,Sim,Sim,18,3,2,80,0,1,5,3,1,0,1,0
34,Sim,Raramente,665,R&D,6,4,Outros,1,138,1,F,41,3,2,Senior DEV,3,Solteiro,4809,12482,1,Sim,Não,14,3,3,80,0,16,3,3,16,13,2,10
37,Sim,Sem Viagens,1040,R&D,2,2,Ciencias Financeiras,1,139,3,M,100,2,2,Analista de Negocio,4,Divorciado,5163,15850,5,Sim,Não,14,3,4,80,1,17,2,4,1,0,0,0
59,Sim,Sem Viagens,1420,RH,2,4,Ciencias Humanas,1,140,3,F,32,2,5,Gerente,4,Casado,18844,21922,9,Sim,Não,21,4,4,80,1,30,3,3,3,2,2,2
50,Sim,Frequentemente,1115,R&D,1,3,Ciencias Financeiras,1,141,1,F,73,3,5,Scrum Master,2,Casado,18172,9755,3,Sim,Sim,19,3,1,80,0,28,1,2,8,3,0,7
25,Não,Raramente,240,Vendas,5,3,Marketing,1,142,3,M,46,2,2,Executivo Vendas,3,Solteiro,5744,26959,1,Sim,Sim,11,3,4,80,0,6,1,3,6,4,0,3
25,Sim,Raramente,1280,R&D,7,1,Computacao,1,143,4,M,64,2,1,Senior DEV,4,Casado,2889,26897,1,Sim,Não,11,3,3,80,2,2,2,3,2,2,2,1
22,Sim,Raramente,534,R&D,15,3,Computacao,1,144,2,F,59,3,1,Pleno DEV,4,Solteiro,2871,23785,1,Sim,Não,15,3,3,80,0,1,5,3,0,0,0,0
51,Sim,Frequentemente,1456,R&D,1,4,Computacao,1,145,1,F,30,2,3,Analista de Negocio,1,Solteiro,7484,25796,3,Sim,Não,20,4,3,80,0,23,1,2,13,12,12,8
34,Não,Frequentemente,658,R&D,7,3,Ciencias Financeiras,1,147,1,M,66,1,2,Pleno DEV,3,Solteiro,6074,22887,1,Sim,Sim,24,4,4,80,0,9,3,3,9,7,0,6
54,Sim,Sem Viagens,142,RH,26,3,Ciencias Humanas,1,148,4,F,30,4,4,Gerente,4,Solteiro,17328,13871,2,Sim,Sim,12,3,3,80,0,23,3,3,5,3,4,4
24,Sim,Raramente,1127,R&D,18,1,Ciencias Financeiras,1,150,2,M,52,3,1,Pleno DEV,3,Casado,2774,13257,0,Sim,Não,12,3,3,80,1,6,2,3,5,3,1,2
34,Sim,Raramente,1031,R&D,6,4,Ciencias Financeiras,1,151,3,F,45,2,2,Senior DEV,2,Divorciado,4505,15000,6,Sim,Não,15,3,3,80,1,12,3,3,1,0,0,0
37,Sim,Raramente,1189,Vendas,3,3,Ciencias Financeiras,1,152,3,M,87,3,3,Executivo Vendas,4,Solteiro,7428,14506,2,Sim,Não,12,3,1,80,0,12,3,3,5,3,1,3
34,Sim,Raramente,1354,R&D,5,3,Computacao,1,153,3,F,45,2,3,Gerente,1,Solteiro,11631,5615,2,Sim,Não,12,3,4,80,0,14,6,3,11,10,5,8
36,Sim,Frequentemente,1467,Vendas,11,2,Engenharia,1,154,2,F,92,3,3,Executivo Vendas,4,Casado,9738,22952,0,Sim,Não,14,3,3,80,1,10,6,3,9,7,2,8
36,Sim,Raramente,922,R&D,3,2,Ciencias Financeiras,1,155,1,F,39,3,1,Pleno DEV,4,Divorciado,2835,2561,5,Sim,Não,22,4,1,80,1,7,2,3,1,0,0,0
43,Sim,Frequentemente,394,Vendas,26,2,Ciencias Financeiras,1,158,3,M,92,3,4,Gerente,4,Casado,16959,19494,1,Sim,Sim,12,3,4,80,2,25,3,4,25,12,4,12
30,Sim,Frequentemente,1312,R&D,23,3,Ciencias Financeiras,1,159,1,M,96,1,1,Senior DEV,3,Divorciado,2613,22310,1,Sim,Não,25,4,3,80,3,10,2,2,10,7,0,9
33,Sim,Sem Viagens,750,Vendas,22,2,Marketing,1,160,3,M,95,3,2,Executivo Vendas,2,Casado,6146,15480,0,Sim,Não,13,3,1,80,1,8,2,4,7,7,0,7
56,Não,Raramente,441,R&D,14,4,Ciencias Financeiras,1,161,2,F,72,3,1,Senior DEV,2,Casado,4963,4510,9,Sim,Sim,18,3,1,80,3,7,2,3,5,4,4,3
51,Sim,Raramente,684,R&D,6,3,Ciencias Financeiras,1,162,1,M,51,3,5,Scrum Master,3,Solteiro,19537,6462,7,Sim,Não,13,3,3,80,0,23,5,3,20,18,15,15
31,Não,Raramente,249,Vendas,6,4,Ciencias Financeiras,1,163,2,M,76,1,2,Executivo Vendas,3,Casado,6172,20739,4,Sim,Sim,18,3,2,80,0,12,3,2,7,7,7,7
26,Sim,Raramente,841,R&D,6,3,Outros,1,164,3,F,46,2,1,Senior DEV,2,Casado,2368,23300,1,Sim,Não,19,3,3,80,0,5,3,2,5,4,4,3
58,Não,Raramente,147,R&D,23,4,Computacao,1,165,4,F,94,3,3,Analista de Negocio,4,Casado,10312,3465,1,Sim,Não,12,3,4,80,1,40,3,2,40,10,15,6
19,Não,Raramente,528,Vendas,22,1,Marketing,1,167,4,M,50,3,1,Representante de Vendas,3,Solteiro,1675,26820,1,Sim,Sim,19,3,4,80,0,0,2,2,0,0,0,0
22,Sim,Raramente,594,R&D,2,1,Engenharia,1,169,3,M,100,3,1,Pleno DEV,4,Casado,2523,19299,0,Sim,Não,14,3,3,80,1,3,2,3,2,1,2,1
49,Sim,Raramente,470,R&D,20,4,Computacao,1,170,3,F,96,3,2,Diretor de Area,1,Casado,6567,5549,1,Sim,Não,14,3,3,80,0,16,2,2,15,11,5,11
43,Sim,Frequentemente,957,R&D,28,3,Computacao,1,171,2,F,72,4,1,Senior DEV,3,Solteiro,4739,16090,4,Sim,Não,12,3,4,80,0,18,2,3,3,2,1,2
50,Sim,Frequentemente,809,Vendas,12,3,Marketing,1,174,3,F,77,3,3,Executivo Vendas,4,Solteiro,9208,6645,4,Sim,Não,11,3,4,80,0,16,3,3,2,2,2,1
31,Não,Raramente,542,Vendas,20,3,Ciencias Financeiras,1,175,2,F,71,1,2,Executivo Vendas,3,Casado,4559,24788,3,Sim,Sim,11,3,3,80,1,4,2,3,2,2,2,2
41,Sim,Raramente,802,Vendas,9,1,Ciencias Financeiras,1,176,3,M,96,3,3,Executivo Vendas,3,Divorciado,8189,21196,3,Sim,Sim,13,3,3,80,1,12,2,3,9,7,0,7
26,Sim,Raramente,1355,RH,25,1,Ciencias Financeiras,1,177,3,F,61,3,1,Analista de RH,3,Casado,2942,8916,1,Sim,Não,23,4,4,80,1,8,3,3,8,7,5,7
